Country,Electricity_Consumption_TWh,Electricity_Consumption_kWh,Solar_Panels_Needed,Area_m2,Total_Area_km2
Kyrgyzstan,13.47,13470000000.0,26940000.0,54957600.0,
Mozambique,13.09,13090000000.0,26180000.0,53407200.0,
Slovenia,13.08,13080000000.0,26160000.0,53366400.0,
Syria,12.91,12910000000.0,25820000.0,52672800.0,
Bosnia and Herzegovina,12.65,12650000000.0,25300000.0,51612000.0,
Uruguay,11.81,11810000000.0,23620000.0,48184800.0,
Panama,11.61,11610000000.0,23220000.0,47368800.0,
Guatemala,11.39,11390000000.0,22780000.0,46471200.0,
DR Congo,11.25,11250000000.0,22500000.0,45900000.0,
Lithuania,11.23,11230000000.0,22460000.0,45818400.0,
Cambodia,11.0,11000000000.0,22000000.0,44880000.0,
Costa Rica,10.62,10620000000.0,21240000.0,43329600.0,
Ethiopia,10.6,10600000000.0,21200000.0,43248000.0,
Bolivia,10.57,10570000000.0,21140000.0,43125600.0,
Sri Lanka,10.4,10400000000.0,20800000.0,42432000.0,
Bhutan,9.75,9750000000.0,19500000.0,39780000.0,
Kenya,9.62,9620000000.0,19240000.0,39249600.0,
Nepal,9.33,9330000000.0,18660000.0,38066400.0,
Lebanon,9.17,9170000000.0,18340000.0,37413600.0,
Trinidad and Tobago,8.98,8980000000.0,17960000.0,36638400.0,
Zimbabwe,8.88,8880000000.0,17760000.0,36230400.0,
Laos,8.83,8830000000.0,17660000.0,36026400.0,
Honduras,8.79,8790000000.0,17580000.0,35863200.0,
Ivory Coast,8.74,8740000000.0,17480000.0,35659200.0,
Mongolia,8.6,8600000000.0,17200000.0,35088000.0,
Tanzania,7.93,7930000000.0,15860000.0,32354400.0,
Estonia,7.48,7480000000.0,14960000.0,30518400.0,
Armenia,7.39,7390000000.0,14780000.0,30151200.0,
Senegal,7.03,7030000000.0,14060000.0,28682400.0,
El Salvador,6.67,6670000000.0,13340000.0,27213600.0,
Albania,6.5,6500000000.0,13000000.0,26520000.0,
Cameroon,6.31,6310000000.0,12620000.0,25744800.0,
Luxembourg,6.12,6120000000.0,12240000.0,24969600.0,
Afghanistan,5.99,5990000000.0,11980000.0,24439200.0,
Latvia,5.98,5980000000.0,11960000.0,24398400.0,
North Macedonia,5.79,5790000000.0,11580000.0,23623200.0,
Macau,5.58,5580000000.0,11160000.0,22766400.0,
Moldova,5.58,5580000000.0,11160000.0,22766400.0,
Brunei,5.24,5240000000.0,10480000.0,21379200.0,
Cyprus,5.02,5020000000.0,10040000.0,20481600.0,
Papua New Guinea,4.52,4520000000.0,9040000.0,18441600.0,
Nicaragua,4.17,4170000000.0,8340000.0,17013600.0,
Uganda,3.97,3970000000.0,7940000.0,16197600.0,
Botswana,3.7,3700000000.0,7400000.0,15096000.0,
Mali,3.5,3500000000.0,7000000.0,14280000.0,
Namibia,3.43,3430000000.0,6860000.0,13994400.0,
Jamaica,3.37,3370000000.0,6740000.0,13749600.0,
Mauritius,3.29,3290000000.0,6580000.0,13423200.0,
Montenegro,2.96,2960000000.0,5920000.0,12076800.0,
Malta,2.79,2790000000.0,5580000.0,11383200.0,
New Caledonia,2.67,2670000000.0,5340000.0,10893600.0,
Guinea,2.63,2630000000.0,5260000.0,10730400.0,
Gabon,2.5,2500000000.0,5000000.0,10200000.0,
Yemen,2.37,2370000000.0,4740000.0,9669600.0,
Madagascar,2.25,2250000000.0,4500000.0,9180000.0,
